section_id,MLA_horizon_id,strat_height_m,IPL17O_mean_dp17Ocarb,IPL17O_sd_dp17Ocarb,IPL17O_se_dp17Ocarb,IPL17O_n_dp17Ocarb,IPL17O_mean_dp18Ocarb,IPL17O_sd_dp18Ocarb,IPL17O_se_dp18Ocarb,IPL17O_n_dp18Ocarb,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_n_Dp17Ocarb,IPL17O_n_analyses,D17O_n_attempted,D17O_n_analysis_excluded,D17O_pending_replicates,D17O_n_retained,D17O_replicate_range_permeg,D17O_replicate_status,D17O_primary_use,IPL17O_sd_Dp17Ocarb_adj,IPL17O_se_Dp17Ocarb_adj,IPL17O_ci95_Dp17Ocarb_adj,D17O_sd_used_permeg,D17O_se_used_permeg,IPL17O_mean_d17Ocarb,IPL17O_mean_d18Ocarb,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_min_T47_C,IPLD47_max_T47_C,IPLD47_range_T47_C,IPL_NuDog_d13Ccarb_VPDB,IPL_NuDog_d18Ocarb_VPDB,IPL_NuDog_d18Ocarb_VSMOW,IPLD47_sessions,IPLD47_IPLnums,IPLD47_sample_type,CU_sample_id,CU_mean_d13Ccarb_vpdb,CU_mean_d18Ocarb_vpdb,CU_se_d18Ocarb_vpdb,CU_mean_d18Ocarb_vsmow,CU_mean_D47_ICDES,CU_se_D47_ICDES,CU_mean_T47_C,CU_2se_T47_C,CU_mean_d18Ow_vsmow,CU_se_d18Ow_vsmow,snell2013_age_ma,Snell_sample_id,Snell_sample_type,Snell_mean_d18Ow_vsmow,Snell_mean_d18Ocarb_vsmow,Snell_reported_d13Ccarb_vpdb,Snell_mean_d13Ccarb_vpdb,Snell_mean_D47,Snell_se_D47,Snell_mean_T47_C,Snell_se_T47_C,Comments,Snell_d13C_omitted_from_compilation,Snell_d13C_omission_reason,Snell_sample_group,Koch_mean_d13Ccarb_vpdb,Koch_se_d13Ccarb_vpdb,Koch_n_d13Ccarb,Koch_mean_d18Ocarb_vpdb,Koch_se_d18Ocarb_vpdb,Koch_n_d18Ocarb_vpdb,Koch_mean_d18Ocarb_vsmow,Koch_se_d18Ocarb_vsmow,Koch_n_d18Ocarb_vsmow,Bowen_mean_d13Ccarb_vpdb,Bowen_se_d13Ccarb_vpdb,Bowen_n_d13Ccarb,Bowen_mean_d18Ocarb_vpdb,Bowen_se_d18Ocarb_vpdb,Bowen_n_d18Ocarb_vpdb,Bowen_mean_d18Ocarb_vsmow,Bowen_se_d18Ocarb_vsmow,Bowen_n_d18Ocarb_vsmow,alteration_likelihood,exclude_high_likelihood,exclude_moderate_or_higher,exclude_any_alteration_indication,p_altered_preservation.x,p_altered_preservation_lower_sensitivity.x,p_altered_preservation_upper_sensitivity.x,alteration_evidence_class.x,probability_model_version.x,n_temperature_observations,n_temperature_observations_passing_screen,exclude_from_temp_model,primary_screening_scenario,temperature_model_position,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,model_min_strat_height_m,model_max_strat_height_m,screening_scenario_id,screening_scenario,n_excluded_horizons,uncertainty_method,extrapolation_policy,T_measured_C,T_measured_se_C,n_T_obs,T_sources,p_altered_preservation.y,p_altered_preservation_lower_sensitivity.y,p_altered_preservation_upper_sensitivity.y,alteration_evidence_class.y,probability_model_version.y,T_model_anchor_C,has_measured_T47
CFB,PK95-SC-246,520,10.355071885,0.25766441483458685,0.182196255,2,19.80702415,0.49194031121620696,0.34785433000000054,2,-103.0368666,2.0800701381082725,1.4708316999999975,2,2,2,0,FALSE,2,2.941663399999996,replicated_concordant,primary,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.408871180040302,20.004484800756117,5,41.32931889345995,6.578073988326786,2.94180411978437,30.471664150372817,47.9,17.42833584962718,-6.9489149964,-9.389666375,21.24000514,"Ben protocol (IPL >=4800), Session 1","4703, 4778, 4780, 4857, 4859",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.48,NA,1,-9.4,NA,1,21.22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,moderate,FALSE,TRUE,TRUE,0.4525449243144053,0.4525449243144053,0.4525449243144053,limited,BHB_d18O_trajectory_index_v2,1,1,FALSE,talk_geochemical_screen,interpolated,43.81877725741165,4.569722098186841,34.86212194496544,52.775432569857855,520,2210,talk_geochemical_screen,Talk screen: d18Ocarb >= 20 per mil and T <= 50 C,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,41.32931889345995,2.94180411978437,1,U-M,0.45254492431440607,0.45254492431440607,0.45254492431440607,limited,BHB_d18O_trajectory_index_v2,43.81867976697626,TRUE
CFB,PK95-SC-242,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,54.83484700886853,1.463494674923108,1.0348470088685318,53.8,55.86969401773706,2.0696940177370635,-4.0974807250000005,-13.636948015000002,16.86139755,"Ben protocol (IPL >=4800), Session 1","4764, 4983",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high,TRUE,TRUE,TRUE,1,1,1,strong,BHB_d18O_trajectory_index_v2,1,0,TRUE,talk_geochemical_screen,interpolated,48.9579327426097,4.569722098186841,40.00127743016349,57.91458805505591,520,2210,talk_geochemical_screen,Talk screen: d18Ocarb >= 20 per mil and T <= 50 C,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE
CFB,PK95-SC-279,680,10.63474449,0.20273645199589688,0.14335631999999965,2,20.32928966,0.3978201559995893,0.2813013299999998,2,-99.120450325,7.312595371130883,5.170785775000005,2,2,2,0,FALSE,2,10.341571550000012,replicated_concordant,primary,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.691494380299371,20.537337096289132,4,46.30804064049258,5.652649271828174,2.826324635914087,40.61124277509936,52.7,12.08875722490064,-8.500083120500001,-9.30003212675,21.3324108775,"Ben protocol (IPL >=4800), Session 1","4620, 4709, 4931, 4952",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.45,NA,1,-9.96,NA,1,20.64,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,high,TRUE,TRUE,TRUE,0.415474349637719,0.415474349637719,0.415474349637719,limited,BHB_d18O_trajectory_index_v2,1,1,FALSE,talk_geochemical_screen,interpolated,43.01423996657959,4.823183631605105,33.56080004863358,52.467679884525595,520,2210,talk_geochemical_screen,Talk screen: d18Ocarb >= 20 per mil and T <= 50 C,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,46.30804064049258,2.826324635914087,1,U-M,0.4154743496377199,0.4154743496377199,0.4154743496377199,limited,BHB_d18O_trajectory_index_v2,43.0160068380054,TRUE
CFB,PK95-SC-187,700,10.659890315,0.4498037827699611,0.3180593050000002,2,20.382110285000003,0.8324337153326096,0.5886195250000003,2,-101.863913985,10.27878236834858,7.268196715000001,2,2,2,0,FALSE,2,14.536393430000004,replicated_concordant,primary,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.716909371285332,20.591243939954484,4,41.410660980063675,9.43255660304655,4.716278301523275,29.9,49.45463953476542,19.55463953476542,-7.17391455375,-8.33671938525,22.3255092525,"Ben protocol (IPL >=4800), Session 1","4610, 4775, 4932, 4957",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.63,NA,1,-8.6,NA,1,22.04,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,possible,FALSE,FALSE,TRUE,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,1,1,FALSE,talk_geochemical_screen,interpolated,38.81933875106971,4.823183631605105,29.3658988331237,48.272778669015715,520,2210,talk_geochemical_screen,Talk screen: d18Ocarb >= 20 per mil and T <= 50 C,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,41.410660980063675,4.716278301523275,1,U-M,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,38.81748784411367,TRUE
CFB,PK95-SC-198,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.79,0.00999999999999978,2,-8.19,0.07000000000000027,2,22.465,0.07499999999999928,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_indication,FALSE,FALSE,FALSE,NA,NA,NA,strong,BHB_d18O_trajectory_index_v2,NA,NA,FALSE,talk_geochemical_screen,interpolated,33.12406932434711,4.823183631605105,23.670629406401105,42.57750924229312,520,2210,talk_geochemical_screen,Talk screen: d18Ocarb >= 20 per mil and T <= 50 C,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE
CFB,PK95-SC-165,820,11.02057991,NA,NA,1,21.06189842,NA,NA,1,-100.1024491,NA,NA,1,1,1,0,FALSE,1,0,singleton_provisional,sensitivity_only,12,12,23.52,12,12,11.08153019750202,21.28526562539701,5,28.733761911784764,3.013672981965773,1.3477555299259931,25.8,32.172951066304336,6.372951066304335,-7.4893818376,-8.269110284,22.395208826,"Ben protocol (IPL >=4800), Session 1, Session 2","4621, 4710, 4747, 4834, 4836",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.04,NA,1,-8.39,NA,1,22.26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_indication,FALSE,FALSE,FALSE,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,1,1,FALSE,talk_geochemical_screen,interpolated,33.225686925090535,4.206627865498312,24.980696308713846,41.470677541467225,520,2210,talk_geochemical_screen,Talk screen: d18Ocarb >= 20 per mil and T <= 50 C,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,28.733761911784764,1.3477555299259931,1,U-M,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,33.225918741727256,TRUE
CFB,PK95-SC-85,860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.55,NA,1,-8.34,NA,1,22.31,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_indication,FALSE,FALSE,FALSE,NA,NA,NA,strong,BHB_d18O_trajectory_index_v2,NA,NA,FALSE,talk_geochemical_screen,interpolated,32.56353384327111,4.206627865498312,24.31854322689442,40.8085244596478,520,2210,talk_geochemical_screen,Talk screen: d18Ocarb >= 20 per mil and T <= 50 C,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE
CFB,PK95-SC-185,940,10.80595196,NA,NA,1,20.64325,NA,NA,1,-93.68403914,NA,NA,1,1,1,0,FALSE,1,0,singleton_provisional,sensitivity_only,12,12,23.52,12,12,10.864547127541702,20.857795648632216,3,29.533333333333335,2.5006665778014736,1.4437605218471812,27,32,5,-9.100783239,-8.374902776333334,22.286145233333333,Session 1,"4611, 4695, 4744",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.413333333333334,0.21457969252574768,3,-8.190000000000001,0.16563010998406466,3,22.466666666666665,0.1722723941256336,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_indication,FALSE,FALSE,FALSE,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,1,1,FALSE,talk_geochemical_screen,interpolated,29.758371877610884,3.26446208803273,23.360026185066733,36.15671757015504,520,2210,talk_geochemical_screen,Talk screen: d18Ocarb >= 20 per mil and T <= 50 C,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,29.53333333333334,1.4437605218471812,1,U-M,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,29.75833790350531,TRUE
CFB,PK95-SC-191,1015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.05,NA,1,-9.84,NA,1,20.77,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_indication,FALSE,FALSE,FALSE,NA,NA,NA,strong,BHB_d18O_trajectory_index_v2,NA,NA,FALSE,talk_geochemical_screen,interpolated,29.228191904753796,2.8932314711174274,23.55745822136364,34.89892558814395,520,2210,talk_geochemical_screen,Talk screen: d18Ocarb >= 20 per mil and T <= 50 C,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE
CFB,PK95-SC-179,1080,10.70388752,0.4523611546522747,0.31986764,2,20.448900015,0.8406944761616866,0.5944607650000009,2,-93.131688035,8.474471429823707,5.992356215,2,2,2,0,FALSE,2,11.984712430000002,replicated_concordant,primary,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.761379068607855,20.6594112299896,5,31.00791846539783,5.685784167136536,2.542759980621864,27.004593577717177,40.9,13.895406422282822,-7.494459866,-8.2626947892,22.401822688,"Ben protocol (IPL >=4800), Session 1","4706, 4769, 4850, 4851, 4852",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.945,0.04499999999999993,2,-8.445,0.27500000000000036,2,22.205,0.28499999999999837,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_indication,FALSE,FALSE,FALSE,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,1,1,FALSE,talk_geochemical_screen,interpolated,32.18077300415947,4.233878660556382,23.88237082946896,40.47917517884998,520,2210,talk_geochemical_screen,Talk screen: d18Ocarb >= 20 per mil and T <= 50 C,4,Approximate 95% interval: analytical SE plus spline residual variance among three nearest measured horizons,No extrapolation; predictions outside retained data range are NA,31.00791846539783,2.542759980621864,1,U-M,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,32.18041726624372,TRUE
