MLA_horizon_id,IPL17O_mean_dp17Ocarb,IPL17O_sd_dp17Ocarb,IPL17O_se_dp17Ocarb,IPL17O_n_dp17Ocarb,IPL17O_mean_dp18Ocarb,IPL17O_sd_dp18Ocarb,IPL17O_se_dp18Ocarb,IPL17O_n_dp18Ocarb,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_n_Dp17Ocarb,IPL17O_n_analyses,strat_height_m,IPL17O_sd_Dp17Ocarb_adj,IPL17O_se_Dp17Ocarb_adj,IPL17O_ci95_Dp17Ocarb_adj,IPL17O_mean_d17Ocarb,IPL17O_mean_d18Ocarb,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_min_T47_C,IPLD47_max_T47_C,IPLD47_range_T47_C,IPL_NuDog_d13Ccarb_VPDB,IPL_NuDog_d18Ocarb_VPDB,IPL_NuDog_d18Ocarb_VSMOW,IPLD47_sessions,IPLD47_IPLnums,IPLD47_sample_type,CU_sample_id,CU_mean_d13Ccarb_vpdb,CU_mean_d18Ocarb_vpdb,CU_se_d18Ocarb_vpdb,CU_mean_d18Ocarb_vsmow,CU_mean_D47_ICDES,CU_se_D47_ICDES,CU_mean_T47_C,CU_2se_T47_C,CU_mean_d18Ow_vsmow,CU_se_d18Ow_vsmow,Snell_sample_id,Snell_Age_Ma,Snell_sample_type,Snell_mean_d18Ow_vsmow,Snell_mean_d18Ocarb_vsmow,Snell_mean_d13Ccarb_vpdb,Snell_mean_D47,Snell_se_D47,Snell_mean_T47_C,Snell_se_T47_C,Snell_sample_group,Koch_mean_d13Ccarb_vpdb,Koch_se_d13Ccarb_vpdb,Koch_n_d13Ccarb,Koch_mean_d18Ocarb_vpdb,Koch_se_d18Ocarb_vpdb,Koch_n_d18Ocarb_vpdb,Koch_mean_d18Ocarb_vsmow,Koch_se_d18Ocarb_vsmow,Koch_n_d18Ocarb_vsmow,Bowen_mean_d13Ccarb_vpdb,Bowen_se_d13Ccarb_vpdb,Bowen_n_d13Ccarb,Bowen_mean_d18Ocarb_vpdb,Bowen_se_d18Ocarb_vpdb,Bowen_n_d18Ocarb_vpdb,Bowen_mean_d18Ocarb_vsmow,Bowen_se_d18Ocarb_vsmow,Bowen_n_d18Ocarb_vsmow,Age_Ma,stage,exclude_nuclear,exclude_moderate,exclude_conservative,exclude_heavy,exclude_heavy_moderate,exclude_all_suspect,exclude_from_temp_model,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C,has_measured_T47,is_snell,d18Ocarb_vsmow,d18Ocarb_se_vsmow,d18Ocarb_source,d18Ocarb_missing_flag,T_recon_C,T_recon_se_C,T_recon_source,d18Ocarb_se_used_vsmow,d18Ow_mean_vsmow,d18Ow_median_vsmow,d18Ow_sd_vsmow,d18Ow_lower95_vsmow,d18Ow_upper95_vsmow,D17Orsw_mean_permeg,D17Orsw_median_permeg,D17Orsw_sd_permeg,D17Orsw_lower95_permeg,D17Orsw_upper95_permeg
PK95-SC-246,10.355071885,0.25766441483458685,0.182196255,2,19.80702415,0.49194031121620696,0.34785433000000054,2,-103.0368666,2.0800701381082725,1.4708316999999975,2,2,520,12,8.48528137423857,16.631151493507595,10.408871180040302,20.004484800756117,5,41.34,6.56604904032859,2.9364263995543967,30.5,47.9,17.4,-6.9489149964,-9.389666375,21.24000514,"Session 1, Session 2","4703, 4778, 4780, 4857, 4859",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.48,NA,1,-9.4,NA,1,21.22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.75347949526814,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48.81968471489023,2.3831509254206567,44.148708901065746,53.49066052871471,41.34,2.9364263995543967,1,IPL,48.81999999999999,TRUE,FALSE,21.22,NA,Koch,NA,41.34,2.9364263995543967,IPL measured T47,0.15,-3.9153348398003143,-3.914640806554246,0.5546847407087143,-5.01160141634549,-2.8498820940777088,-27.051025179010814,-23.682191021820344,254.0659698375671,-524.7114324710424,470.05216007688864
PK95-SC-242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,NA,NA,NA,NA,NA,2,56.3,3.5355339059327378,2.5,53.8,58.8,5,-4.0974807250000005,-13.636948015000002,16.86139755,"Session 1, Session 2","4764, 4983",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46575078864353,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,48.80639566350515,2.3831509254206567,44.13541984968066,53.47737147732964,56.29999999999999,2.5,1,IPL,48.805,TRUE,FALSE,16.86139755,NA,IPL_NuDog,NA,56.3,2.5,IPL measured T47,0.15,-5.577429444423517,-5.570916921917899,0.4355276589584382,-6.442030289178104,-4.741599967016294,NA,NA,NA,NA,NA
PK95-SC-279,10.63474449,0.20273645199589688,0.14335631999999965,2,20.32928966,0.3978201559995893,0.2813013299999998,2,-99.120450325,7.312595371130883,5.170785775000005,2,2,680,12,8.48528137423857,16.631151493507595,10.691494380299371,20.537337096289132,4,48.775,2.9432125305522883,1.471606265276144,46.1,52.7,6.600000000000001,-8.500083120500001,-9.30003212675,21.3324108775,"Session 1, Session 2","4620, 4709, 4931, 4952",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.45,NA,1,-9.96,NA,1,20.64,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.09581388012619,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,49.7841919326611,4.011744909914166,41.921171909229336,57.64721195609287,48.775,1.471606265276144,1,IPL,49.791666666666664,TRUE,FALSE,20.64,NA,Koch,NA,48.775,1.471606265276144,IPL measured T47,0.15,-3.1480324093833776,-3.147279199658044,0.2970810843959235,-3.729621124578866,-2.560422592934827,-31.297153060373756,-31.02689044718221,201.71091265385928,-425.0837850626317,356.4626709465075
PK95-SC-187,10.659890315,0.4498037827699611,0.3180593050000002,2,20.382110285000003,0.8324337153326096,0.5886195250000003,2,-101.863913985,10.27878236834858,7.268196715000001,2,2,700,12,8.48528137423857,16.631151493507595,10.716909371285332,20.591243939954484,4,44.3,12.628011192055014,6.314005596027507,29.9,55.1,25.200000000000003,-7.17391455375,-8.33671938525,22.3255092525,"Session 1, Session 2","4610, 4775, 4932, 4957",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.63,NA,1,-8.6,NA,1,22.04,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.01360567823344,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40.611945926738166,4.011744909914166,32.7489259033064,48.47496595016993,44.3,6.314005596027507,1,IPL,40.605,TRUE,FALSE,22.04,NA,Koch,NA,44.3,6.314005596027507,IPL measured T47,0.15,-2.587360796882289,-2.564532872508096,1.1471811463119497,-4.929788886094022,-0.41883383086774106,-29.984095241818466,-26.715991094348745,436.78228360948935,-895.340914469609,820.0469258334987
PK95-SC-198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.79,0.00999999999999978,2,-8.19,0.07000000000000027,2,22.465,0.07499999999999928,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7669810725552,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,30.031215670032346,3.8234753678935727,22.53720394896094,37.52522739110374,NA,NA,0,NA,NA,FALSE,FALSE,22.465,0.07499999999999928,Koch,NA,30.031215670032346,3.8234753678935727,modeled/interpolated T,0.07499999999999928,-4.838251162696205,-4.8277242788297485,0.7411742612956318,-6.31649951226972,-3.423357475211501,NA,NA,NA,NA,NA
PK95-SC-165,11.02057991,NA,NA,1,21.06189842,NA,NA,1,-100.1024491,NA,NA,1,1,820,12,12,23.52,11.08153019750202,21.28526562539701,5,28.74,3.020430432901908,1.3507775538555566,25.8,32.2,6.400000000000002,-7.4893818376,-8.269110284,22.395208826,"Session 1, Session 2","4621, 4710, 4747, 4834, 4836",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.04,NA,1,-8.39,NA,1,22.26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.579088664037045,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,34.19040315790967,3.8199350391994504,26.703330481078748,41.67747583474059,28.74,1.3507775538555566,1,IPL,34.19111111111111,TRUE,FALSE,22.26,NA,Koch,NA,28.74,1.3507775538555566,IPL measured T47,0.15,-5.272377953293427,-5.271222520448816,0.30160849899437653,-5.875926734634476,-4.696945894332425,-21.25516582269995,-20.095334386794228,167.53233325007298,-348.8197956043583,307.39033752602387
PK95-SC-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.55,NA,1,-8.34,NA,1,22.31,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.48586280226376,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,34.43398834797592,3.8199350391994504,26.946915671144996,41.92106102480684,NA,NA,0,NA,NA,FALSE,FALSE,22.31,NA,Koch,NA,34.43398834797592,3.8199350391994504,modeled/interpolated T,0.15,-4.13024238758462,-4.125907167215985,0.7506383859377347,-5.620148392169034,-2.6736872070070956,NA,NA,NA,NA,NA
PK95-SC-185,10.80595196,NA,NA,1,20.64325,NA,NA,1,-93.68403914,NA,NA,1,1,940,12,12,23.52,10.864547127541702,20.857795648632216,3,29.533333333333335,2.5006665778014736,1.4437605218471812,27,32,5,-9.100783239,-8.374902776333334,22.286145233333333,Session 1,"4611, 4695, 4744",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.413333333333334,0.21457969252574768,3,-8.190000000000001,0.16563010998406466,3,22.466666666666665,0.1722723941256336,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.2994110787172,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,29.764643492960353,1.8592511435561403,26.12051125159032,33.40877573433039,29.53333333333334,1.4437605218471812,1,IPL,29.764444444444447,TRUE,FALSE,22.466666666666665,0.1722723941256336,Koch,NA,29.533333333333335,1.4437605218471812,IPL measured T47,0.1722723941256336,-4.914019482346977,-4.906886248663341,0.33022866337836443,-5.563762319486313,-4.271564316489764,-12.870694225060511,-14.71741340353061,169.38271139730304,-344.37260724267094,323.4078144131021
PK95-SC-191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.05,NA,1,-9.84,NA,1,20.77,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1246125878923,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,28.59514258025148,1.8592511435561403,24.95101033888145,32.239274821621514,NA,NA,0,NA,NA,FALSE,FALSE,20.77,NA,Koch,NA,28.59514258025148,1.8592511435561403,modeled/interpolated T,0.15,-6.750445203549562,-6.743421577807794,0.3938520921942652,-7.524563708543504,-5.987793554432631,NA,NA,NA,NA,NA
PK95-SC-179,10.70388752,0.4523611546522747,0.31986764,2,20.448900015,0.8406944761616866,0.5944607650000009,2,-93.131688035,8.474471429823707,5.992356215,2,2,1080,12,8.48528137423857,16.631151493507595,10.761379068607855,20.6594112299896,5,31.02,5.683924700416077,2.5419284018240953,27,40.9,13.9,-7.494459866,-8.2626947892,22.401822688,"Session 1, Session 2","4706, 4769, 4850, 4851, 4852",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.945,0.04499999999999993,2,-8.445,0.27500000000000036,2,22.205,0.28499999999999837,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.973120562510715,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,29.717743532458464,2.1220412953708654,25.55854259353157,33.87694447138536,31.02,2.5419284018240953,1,IPL,29.71777777777778,TRUE,FALSE,22.205,0.28499999999999837,Koch,NA,31.02,2.5419284018240953,IPL measured T47,0.28499999999999837,-4.881245105017479,-4.884061190969362,0.5659255983125041,-5.988981776108168,-3.7686856683301615,-3.713316099968743,-4.682944571394954,441.2196106641486,-870.263666564616,880.1843979810352
